"meta_n_repeats"	"meta_n_experiments_per_repeat"	"meta_n_participants_per_experiment"	"meta_n_trials_per_participant"	"meta_n_people"	"meta_true_base"	"meta_true_sex"	"meta_true_cond"	"meta_true_sex_cond"	"meta_var_base"	"meta_var_sex"	"meta_var_cond"	"meta_var_sex_cond"	"meta_base_estimate_anova"	"meta_sex_estimate_anova"	"meta_cond_estimate_anova"	"meta_sex_cond_estimate_anova"	"meta_base_estimate_glmm"	"meta_sex_estimate_glmm"	"meta_cond_estimate_glmm"	"meta_sex_cond_estimate_glmm"	"meta_base_estimate_glmm_p"	"meta_sex_estimate_glmm_p"	"meta_cond_estimate_glmm_p"	"meta_sex_cond_estimate_glmm_p"	"meta_base_estimate_bglmm"	"meta_sex_estimate_bglmm"	"meta_cond_estimate_bglmm"	"meta_sex_cond_estimate_bglmm"	"meta_base_estimate_bglmm_p"	"meta_sex_estimate_bglmm_p"	"meta_cond_estimate_bglmm_p"	"meta_sex_cond_estimate_bglmm_p"	"meta_base_estimate_pp"	"meta_sex_estimate_pp"	"meta_cond_estimate_pp"	"meta_sex_cond_estimate_pp"	"meta_base_estimate_pp_p"	"meta_sex_estimate_pp_p"	"meta_cond_estimate_pp_p"	"meta_sex_cond_estimate_pp_p"	"meta_base_estimate_mega_bglmm"	"meta_sex_estimate_mega_bglmm"	"meta_cond_estimate_mega_bglmm"	"meta_sex_cond_estimate_mega_bglmm"	"meta_base_estimate_mega_bglmm_p"	"meta_sex_estimate_mega_bglmm_p"	"meta_cond_estimate_mega_bglmm_p"	"meta_sex_cond_estimate_mega_bglmm_p"	"meta_base_estimate_lower_anova"	"meta_sex_estimate_lower_anova"	"meta_cond_estimate_lower_anova"	"meta_sex_cond_estimate_lower_anova"	"meta_base_estimate_lower_glmm"	"meta_sex_estimate_lower_glmm"	"meta_cond_estimate_lower_glmm"	"meta_sex_cond_estimate_lower_glmm"	"meta_base_estimate_lower_bglmm"	"meta_sex_estimate_lower_bglmm"	"meta_cond_estimate_lower_bglmm"	"meta_sex_cond_estimate_lower_bglmm"	"meta_base_estimate_lower_pp"	"meta_sex_estimate_lower_pp"	"meta_cond_estimate_lower_pp"	"meta_sex_cond_estimate_lower_pp"	"meta_base_estimate_lower_mega_bglmm"	"meta_sex_estimate_lower_mega_bglmm"	"meta_cond_estimate_lower_mega_bglmm"	"meta_sex_cond_estimate_lower_mega_bglmm"	"meta_base_estimate_upper_anova"	"meta_sex_estimate_upper_anova"	"meta_cond_estimate_upper_anova"	"meta_sex_cond_estimate_upper_anova"	"meta_base_estimate_upper_glmm"	"meta_sex_estimate_upper_glmm"	"meta_cond_estimate_upper_glmm"	"meta_sex_cond_estimate_upper_glmm"	"meta_base_estimate_upper_bglmm"	"meta_sex_estimate_upper_bglmm"	"meta_cond_estimate_upper_bglmm"	"meta_sex_cond_estimate_upper_bglmm"	"meta_base_estimate_upper_pp"	"meta_sex_estimate_upper_pp"	"meta_cond_estimate_upper_pp"	"meta_sex_cond_estimate_upper_pp"	"meta_base_estimate_upper_mega_bglmm"	"meta_sex_estimate_upper_mega_bglmm"	"meta_cond_estimate_upper_mega_bglmm"	"meta_sex_cond_estimate_upper_mega_bglmm"	"meta_sex_positive_rate_anova"	"meta_cond_positive_rate_anova"	"meta_sex_cond_positive_rate_anova"	"meta_sex_positive_rate_glmm"	"meta_cond_positive_rate_glmm"	"meta_sex_cond_positive_rate_glmm"	"meta_sex_positive_rate_bglmm"	"meta_cond_positive_rate_bglmm"	"meta_sex_cond_positive_rate_bglmm"	"meta_sex_positive_rate_pp"	"meta_cond_positive_rate_pp"	"meta_sex_cond_positive_rate_pp"	"meta_sex_positive_rate_mega_bglmm"	"meta_cond_positive_rate_mega_bglmm"	"meta_sex_cond_positive_rate_mega_bglmm"	"meta_base_uncertainty_anova"	"meta_sex_uncertainty_anova"	"meta_cond_uncertainty_anova"	"meta_sex_cond_uncertainty_anova"	"meta_base_uncertainty_glmm"	"meta_sex_uncertainty_glmm"	"meta_cond_uncertainty_glmm"	"meta_sex_cond_uncertainty_glmm"	"meta_base_uncertainty_glmm_p"	"meta_sex_uncertainty_glmm_p"	"meta_cond_uncertainty_glmm_p"	"meta_sex_cond_uncertainty_glmm_p"	"meta_base_uncertainty_bglmm"	"meta_sex_uncertainty_bglmm"	"meta_cond_uncertainty_bglmm"	"meta_sex_cond_uncertainty_bglmm"	"meta_base_uncertainty_bglmm_p"	"meta_sex_uncertainty_bglmm_p"	"meta_cond_uncertainty_bglmm_p"	"meta_sex_cond_uncertainty_bglmm_p"	"meta_base_uncertainty_pp"	"meta_sex_uncertainty_pp"	"meta_cond_uncertainty_pp"	"meta_sex_cond_uncertainty_pp"	"meta_base_uncertainty_pp_p"	"meta_sex_uncertainty_pp_p"	"meta_cond_uncertainty_pp_p"	"meta_sex_cond_uncertainty_pp_p"	"meta_base_uncertainty_mega_bglmm"	"meta_sex_uncertainty_mega_bglmm"	"meta_cond_uncertainty_mega_bglmm"	"meta_sex_cond_uncertainty_mega_bglmm"	"meta_base_uncertainty_mega_bglmm_p"	"meta_sex_uncertainty_mega_bglmm_p"	"meta_cond_uncertainty_mega_bglmm_p"	"meta_sex_cond_uncertainty_mega_bglmm_p"
"1"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.496566666666667	0.00376666666666668	0.00543333333333335	-0.0100333333333333	-0.0137478267290635	0.0150868964817229	0.0217177472162631	-0.0402725610360855	0.496563097449564	0.00377166993857847	0.00542937212550287	-0.0100679692328784	-0.0145737006615394	0.0154661915902485	0.0226453668536803	-0.0415087452104831	0.49635663931967	0.0038664833976968	0.0056612662725295	-0.0103769899394011	0.0298907738654903	0.226908265590213	-0.00223213349699115	-0.0376853384643223	0.507472137137706	0.0563771255000249	-0.000557917821665699	-0.00928249112975432	-0.0141499228317229	0.0160004785539305	0.0221591908724459	-0.0413613081006337	0.496462578313846	0.00400006048467788	0.00553972799262131	-0.0103401483344455	0.452678798256199	-0.0583001520630622	-0.0566334853963956	-0.0978090701542684	NA	-0.191763691328673	-0.236712650152876	-0.230051196527174	-0.202790749626897	-0.250804547129965	-0.24291473341556	-0.418395738915262	-0.139889709031951	0.0435990625350426	-0.189219832660936	-0.0912620690990338	-0.0371737832635023	-0.0165387105788986	-0.0106128942904593	-0.0881057954970823	0.540454535077134	0.0658334853963956	0.0675001520630623	0.0777424034876018	-0.396388438009862	NA	0.164268037870546	0.266886443116322	0.174393543454012	0.282401601468176	0.288981748078611	0.333563179665833	0.192053416611792	0.419843361150963	0.182730670934824	0.014666439664873	0.00816402685168906	0.0489903417432166	0.0541336271888695	0.00440884389227439	0.05	0.0166666666666667	0.0333333333333333	NA	0.0166666666666667	0.0333333333333333	0.0333333333333333	0.0166666666666667	0.0333333333333333	1	0	0	0	0	0	0.087775736820935	0.124133637459458	0.124133637459458	0.17555147364187	NA	NA	0.400980688023422	0.496937639643496	NA	NA	0.0998490034896494	0.123546853898496	0.377184293080909	0.533206148598141	0.531896481494171	0.751958918581095	0.0940128816137671	0.132517501880451	0.132193545822581	0.185790082536192	0.331943125643743	0.376244298615921	0.37195050359576	0.105928508763907	0.0827818243378965	0.0922118255088853	0.092704222692979	0.0261689632756071	0.0453378101151914	0.0655290523221152	0.0647465214793288	0.0925146393893567	0.0113333711303135	0.0163807800457175	0.0161849825541623	0.0231226980276151
"2"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.497166666666667	0.00113333333333334	0.00546666666666666	-0.00286666666666665	-0.0113575075307726	0.00449579249415745	0.0219424861575783	-0.0114755065929135	0.497160653638553	0.00112392433290831	0.00548556631093011	-0.00286882912664821	-0.00924877493619784	0.00130108135928629	0.0191901207795513	-0.00766996778106944	0.497687822747866	0.000325264316646035	0.00479749324428386	-0.00191746640326451	0.081959335273913	-0.0303055108551186	-0.00102516358130328	-0.0138083346720972	0.520478371765403	-0.0075677861131046	-0.000255866328090049	-0.00345067761391049	-0.0114840083566983	0.00456239023470386	0.02183731601333	-0.0117236699380544	0.497129029463308	0.00114057291462699	0.00545927433065641	-0.00293087039784756	0.452714485954122	-0.0617315435074072	-0.057398210174074	-0.0917710280917563	NA	-0.19061755004005	-0.24901972994284	-0.231574404642205	-0.198350486620362	-0.266399149384893	-0.247941533744108	-0.385716711590753	-0.0807940806099308	-0.224366686038939	-0.189808106937284	-0.0601702695538756	-0.0342578459862095	-0.0295855398859545	-0.0121732295802419	-0.0571774705369395	0.541618847379211	0.0639982101740739	0.0683315435074073	0.086037694758423	-0.369993832897136	NA	0.167902534978505	0.258011314931155	0.180243839620715	0.268325084330509	0.285916038525645	0.369827149533441	0.244521923498189	0.174793963430051	0.183465821821108	0.0318482930709403	0.0131235895328274	0.0377429429276582	0.0544635011959572	0.0380377489935923	0.05	0.1	0.0333333333333333	NA	0.0333333333333333	0.1	0.0333333333333333	0.0333333333333333	0.0166666666666667	0	0	0	0	0	0	0.0889043614250896	0.125729753681481	0.125729753681481	0.177808722850179	NA	NA	0.416922264921345	0.48958571957336	NA	NA	0.10378555122285	0.121764849302574	0.378594326241077	0.534724233715402	0.533857572269754	0.755543861124193	0.094365042438121	0.1328881479036	0.132674452981626	0.186670725156981	0.325316004108119	0.39916064946899	0.373273928758392	0.0920185626248159	0.0810152433710769	0.099379806676855	0.0929055341956104	0.0229929420628585	0.0473814355190369	0.0673284828136127	0.066636730776199	0.0952152195305318	0.0118444742858195	0.0168303005833451	0.0166572531519072	0.023799140051574
"3"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.500233333333333	-0.00283333333333331	-0.00270000000000002	0.00166666666666669	0.000939962187034213	-0.0114040760202097	-0.0108338661881426	0.00667041681161234	0.500234990529457	-0.00285099511725839	-0.00270844635268769	0.001667625340739	0.000165904532297029	-0.010735149450355	-0.010038143715839	0.00499574516352462	0.500041476132979	-0.00268376276528659	-0.00250951588407344	0.00124897091608533	0.0122399508819997	0.0885100308008059	-0.00312245799509293	0.0111448551178246	0.503059949518044	0.0221062619107106	-0.000780592086292775	0.00278069594176755	0.00224702809496326	-0.0126074809399523	-0.0121709463604614	0.00845332702942336	0.500561756787375	-0.00315184683052816	-0.00304271599251932	0.00211334611890734	0.455854367037318	-0.0655946693532559	-0.0654613360199227	-0.087091265925363	NA	-0.17829009636893	-0.264876856544464	-0.26434638121869	-0.190672527583019	-0.27596018076235	-0.278721191650719	-0.377192925737542	-0.148818511998972	-0.0978809767567748	-0.19104438409429	-0.0329787503396339	-0.0213079123424821	-0.0434738258434174	-0.0439559649161825	-0.0383851639452893	0.544612299629348	0.0599280026865893	0.0600613360199227	0.0904245992586964	-0.351854763057543	NA	0.180170020742998	0.242068704504044	0.189688336696869	0.260252655862318	0.259528139742175	0.384343800027691	0.171134134550515	0.271693525475649	0.184378722034072	0.0546873702631393	0.02518048220545	0.0217293522146744	0.0201544546158429	0.0514851560576523	0.0333333333333333	0.05	0.0666666666666667	NA	0.0166666666666667	0.0333333333333333	0.0333333333333333	0.05	0.05	0	0	0	0	0	0	0.0887579325920296	0.125522672039845	0.125522672039845	0.177515865184059	NA	NA	0.445046877287462	0.506415085722734	NA	NA	0.110757958917698	0.125899063057922	0.380360864279888	0.536212836624668	0.538249331392894	0.761536725765233	0.0948046365779132	0.133254015006181	0.133753077421805	0.188103659493887	0.319952646549487	0.369574502232424	0.375423106128362	0.0876661206027732	0.079815537787974	0.0919074832347027	0.0935793153797299	0.0218487089846691	0.0464883945479321	0.0652031780580918	0.0641104195320254	0.0898703200029415	0.0116215644959035	0.0162990478144201	0.0160258593243587	0.0224623667195769
"4"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.499333333333333	-0.0014333333333333	-0.000833333333333321	0.00633333333333332	-0.00263596367441141	-0.00575878766567884	-0.00342016013674466	0.025458514495147	0.499341009462969	-0.00143968497321084	-0.00085503578831192	0.00636455914311435	-0.0024546928581718	-0.00667630207387872	-0.00444532699776003	0.0271796049150475	0.499386327093598	-0.00166905996638228	-0.0011113252136174	0.00679482639038709	-0.0087889856640946	-0.0366417872751789	0.0410376341390152	0.022121483769464	0.497802767727958	-0.00915850788511363	0.0102586957592868	0.00552901456222976	-0.00314168063098467	-0.00503485654657505	-0.00229068654653272	0.0238393307249756	0.499214580488272	-0.00125870339422496	-0.000572668942817323	0.00595976878509352	0.455038516974837	-0.0640756633703438	-0.0634756633703439	-0.0822562993836585	NA	-0.181871615089011	-0.259244293156763	-0.256929847155708	-0.1905818339289	-0.273140880598639	-0.271886134309528	-0.349495233888124	-0.16675357841748	-0.224721336384935	-0.155044986274011	-0.0282694522126079	-0.0272063038674443	-0.0374705022702292	-0.0351736622415976	-0.0232602820700716	0.543628149691829	0.0612089967036772	0.0618089967036773	0.0949229660503252	-0.333059376265886	NA	0.176599687740188	0.247726717825405	0.18741581982472	0.259465033088388	0.26298167187091	0.404757527108085	0.167411556172252	0.154886664882771	0.222144633459005	0.0713980248993445	0.0201707699818611	0.0278655860562289	0.0301845089213262	0.0706857226052547	0.0333333333333333	0.05	0.0833333333333333	NA	0	0.05	0.0166666666666667	0.05	0.0666666666666667	0	0	0	0	0	0	0.0885896327169918	0.125284660074021	0.125284660074021	0.177179265433984	NA	NA	0.435843980896951	0.504656564981113	NA	NA	0.108480024342815	0.125490652732327	0.37799765375362	0.532605913687027	0.534867806180438	0.754252760996208	0.0942190584912814	0.132367316696673	0.132924090262732	0.186350785254865	0.334165134589733	0.379608001267707	0.377189619733017	0.0996674771119524	0.0833474734947877	0.0945733475605438	0.0940046160577384	0.0249098789445417	0.0473770738493054	0.0653360883264581	0.0653581711629238	0.0939460046753263	0.0118436779936351	0.0163323119831065	0.016337959112724	0.0234811542643628
"5"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.4962	0.00583333333333335	-0.00343333333333335	-0.00339999999999998	-0.0151803878856728	0.0233388779077513	-0.0138456638643832	-0.0135295409039504	0.496204975906735	0.00583463528559031	-0.00346097941242729	-0.00338266263047837	-0.0140876813745357	0.0219284806188222	-0.0145733793204465	-0.0131044686015252	0.496478137902715	0.00548205186596679	-0.0036429126206709	-0.00327637669784614	0.131955648194617	-0.0817576872726345	-0.0494630974814516	-0.012087005822398	0.532941127533617	-0.0203942718599454	-0.0123296769758973	-0.00305518381522824	-0.0151618933577218	0.0233489208474559	-0.0139190662919219	-0.0133483326466981	0.496209599272685	0.0058371461674222	-0.0034793268569247	-0.00333736673377705	0.452326355626396	-0.0562133695705517	-0.0654800362372184	-0.0911472887472083	NA	-0.193828485174123	-0.229337359143037	-0.266516043444652	-0.202351662934092	-0.243900429626607	-0.28255964295894	-0.388221532182692	-0.0317011537534783	-0.278018428577341	-0.248690679833359	-0.057798915240324	-0.038154185903789	-0.00855768066669884	-0.0446926641240959	-0.0572826052945718	0.540073644373604	0.0678800362372184	0.0586133695705517	0.0843472887472084	-0.370899394628949	NA	0.163467709402777	0.27601511495854	0.17466531265652	0.28822632978658	0.250783527427657	0.364515427201706	0.303496312085909	0.118081714765913	0.140247390804314	0.0349337169626664	0.00713538497101488	0.0555888075634916	0.0178537091647898	0.0315903442822522	0.0666666666666667	0	0.0666666666666667	NA	0.0333333333333333	0.0166666666666667	0.05	0	0.0333333333333333	0	0	0	0	0	0	0.0877472887472083	0.12409340580777	0.12409340580777	0.175494577494417	NA	NA	0.392805068545814	0.542531158403192	NA	NA	0.0978307228309309	0.134807123695729	0.377016975590613	0.532126759413186	0.533343170386597	0.752736959384398	0.0939716559329081	0.132250314388821	0.132521956063136	0.185978348048081	0.335197465839387	0.396100143343253	0.388938070637673	0.0927326322029904	0.0832216208784037	0.0986366106201433	0.0967843299350775	0.0231783428211477	0.0452895708748039	0.0641464882301904	0.0625463732888857	0.088872949576824	0.0113212281801613	0.016034967793937	0.015632127161062	0.0222126663288036
"6"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.497233333333333	0.00360000000000002	0.00180000000000001	-0.00210000000000001	-0.0111487328580252	0.0144559243475418	0.00729207151454442	-0.00845504801223842	0.497212845654371	0.00361395146441623	0.00182299020482701	-0.00211373378104096	-0.0115142181000474	0.0152322360189963	0.00743946102211217	-0.0087636548983639	0.497121477277129	0.00380802613184678	0.00185983486288088	-0.00219088254696476	0.063969065253051	-0.0126399196833956	-0.0253608920413354	-0.00439769552477195	0.515986815126035	-0.00315734540681289	-0.00633597058185809	-0.00110106872138938	-0.0116315060142817	0.0155855678754045	0.00726623103787801	-0.00869335209749702	0.497092156280339	0.00389635789702336	0.00181652670853727	-0.00217330602168153	0.452862191223192	-0.0591502709501458	-0.0609502709501459	-0.0908422842202828	NA	-0.190518629629169	-0.239183289729466	-0.246393467843348	-0.199501026001628	-0.252410419121277	-0.259773204246027	-0.382564060773781	-0.0850435332386919	-0.201106452828463	-0.207604124957851	-0.0501349590561447	-0.0342531702511177	-0.0175288806783023	-0.026655900251964	-0.0559197490303589	0.541604475443475	0.0663502709501459	0.064550270950146	0.0866422842202828	-0.367176751482443	NA	0.168221163913118	0.268095138424549	0.176480769486397	0.279830724670712	0.273148899437544	0.371925292186694	0.229687181575176	0.165231980611802	0.155418309222917	0.0452958549165937	0.011512543893169	0.0466447388221044	0.0413542716649365	0.0368230373551896	0.0333333333333333	0.05	0.05	NA	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.05	0	0	0	0	0	0	0.0887422842202828	0.125500541900292	0.125500541900292	0.177484568440566	NA	NA	0.407404453642584	0.514488606267897	NA	NA	0.10144579331978	0.127903048364252	0.375981795488026	0.532241143791988	0.532922103683571	0.754489352960475	0.0937165258326877	0.132280371844415	0.132447028073126	0.186415228569272	0.314730714813867	0.366338433440265	0.363022434180768	0.0954308139727384	0.0784187524474787	0.0912814420570177	0.0904750677917174	0.0238498732947046	0.0457657141442868	0.0641736195004067	0.0680101719169005	0.0927427863855484	0.0114405595845992	0.0160419942047488	0.0170008268479432	0.0231815266026102
"7"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.497433333333333	-0.00139999999999999	0.00689999999999997	-0.00136666666666664	-0.010283461086933	-0.00557426338635494	0.0276850058150647	-0.00552354632968356	0.497429157383686	-0.00139350542698946	0.00692111902193882	-0.00138084244417414	-0.0100090210039639	-0.00521654484157962	0.0272882231579764	-0.00455187780063982	0.497497765638565	-0.00130408356919698	0.0068219274226119	-0.00113792344099584	-0.026986567620049	0.160946117006456	-0.131495038299287	-0.00416623652299319	0.493253767515962	0.0401861277556383	-0.0327914498653443	-0.0010738766625587	-0.00991143371738915	-0.00621661643492194	0.0261885009631193	-0.00463489716617755	0.497522161855135	-0.00155408699691018	0.00654701511505867	-0.00115870488940883	0.452493892380423	-0.0649539668810705	-0.0566539668810706	-0.0912455485724871	NA	-0.189908745812306	-0.259641683998726	-0.226406522970942	-0.199164265580488	-0.276754230410537	-0.243934640576049	-0.383651052866396	-0.182751106320045	-0.0267983786266997	-0.319698074558647	-0.0550303787609173	-0.0309400516227467	-0.037425601464159	-0.00467197952762756	-0.0483424600176205	0.542372774286243	0.0621539668810705	0.0704539668810705	0.0885122152391538	-0.364878146207209	NA	0.16934182363844	0.248493157226016	0.181184993124638	0.262660362806675	0.295619579484091	0.377183991364969	0.134723415764883	0.34785065210033	0.0554445815888539	0.0437797118430873	0.0127289575816349	0.0250271417819622	0.0577048774634868	0.0418326928091055	0.0333333333333333	0.0333333333333333	0.0166666666666667	NA	0	0.0666666666666667	0.0166666666666667	0.0333333333333333	0.0166666666666667	0	0	0	0	0	0	0.0898788819058204	0.127107933762141	0.127107933762141	0.179757763811641	NA	NA	0.428983507637166	0.474899680196958	NA	NA	0.106755494734578	0.118154978578772	0.380349258705127	0.539414593217212	0.53955422006014	0.760835044231365	0.0947998688705995	0.134032517803159	0.134068118191857	0.187944067123665	0.317474522084928	0.374649030727029	0.3751426561475	0.0988100906040046	0.0791910460812847	0.0929778177487265	0.0929274064651409	0.0246974376143982	0.0436690092043817	0.0624527432461212	0.0623768569911143	0.090175152826726	0.0109165923414905	0.0156109045104519	0.0155918757693976	0.0225397090426835
"8"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.499933333333333	0.00246666666666668	-0.000966666666666664	-0.000699999999999992	-0.000320528484448945	0.00996211954899247	-0.00382044727793331	-0.00286056706499143	0.499919867879574	0.00249051121413174	-0.000955110340835896	-0.00071512511307914	-0.000581153868094424	0.0102358334951975	-0.00414685688419576	-0.0014909949660605	0.499854711537066	0.00255893962113307	-0.0010367120232605	-0.000372733540956127	-0.143896605890522	0.142731125413749	0.0639374427929545	0.000762457507900952	0.464087794361466	0.0356208355523222	0.0159330583995262	0.000236575788831406	0.000407680856485336	0.00933744713168138	-0.00481804005173134	-0.00227086730452738	0.50010192021271	0.0023343425038771	-0.00120450822429374	-0.000567699724752901	0.456103949353407	-0.0595174425882025	-0.062950775921536	-0.0883587679598518	NA	-0.178435903693075	-0.241953640187623	-0.255704136208981	-0.188986113727539	-0.256487442531474	-0.272013983458287	-0.380620137636756	-0.31886861997865	-0.0453073581493275	-0.122321625222257	-0.0498657577696096	-0.0213024917326355	-0.022215756633269	-0.0359729482450817	-0.0460059792100507	0.543762717313259	0.0644507759215359	0.0610174425882026	0.0869587679598518	-0.359122604240731	NA	0.177794846724177	0.261877879285608	0.188392112314257	0.277754476315158	0.262928542600846	0.377533062954478	0.0178217663108621	0.336673680369193	0.248957617173811	0.0523629847582562	0.022500891043498	0.0404146940063616	0.0254051158554537	0.0425736044224481	0.0333333333333333	0	0.0166666666666667	NA	0.05	0	0.0333333333333333	0	0.0166666666666667	0	0	0	0	0	0	0.0876587679598518	0.123968218509738	0.123968218509739	0.175317535919704	NA	NA	0.419748486911801	0.517582015494589	NA	NA	0.104526494326547	0.128675632636893	0.377378226041796	0.534241918846633	0.534942526059133	0.758153200591234	0.0940656304737261	0.132768642302058	0.132943140272031	0.18730003165849	0.336690386289512	0.381981038518521	0.371279242396067	0.102228742527866	0.0835038251047568	0.0952059546104539	0.0924053719018773	0.0255254759427518	0.0438033827761335	0.0626304506396307	0.0613780641005354	0.0885795836324988	0.0109504069867054	0.0156559795550437	0.0153432206432191	0.022141219651796
"9"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.500766666666667	-0.00186666666666666	-0.00200000000000002	0.00580000000000002	0.00307999644863781	-0.00759438758436009	-0.00799425627849884	0.0233193874292604	0.500769998503451	-0.00189859437067635	-0.00199856098844092	0.00582981553736073	0.00345619314111874	-0.00831328146534646	-0.0089522145579757	0.0247129325007357	0.500864047425173	-0.00207831711904688	-0.00223804932076854	0.00617819941286452	-0.0595784480393786	-0.0422079996131928	0.0639700977172412	0.0215816595785908	0.485109792242478	-0.0105344569655724	0.0159881184124089	0.00537796286287895	0.00133484917477163	-0.00517861435079816	-0.00617042166938858	0.0202481168447306	0.500333712244141	-0.00129465235502846	-0.00154260301219628	0.00506200329328149	0.455423980872179	-0.0659909078716532	-0.0661242412049867	-0.0848853715889757	NA	-0.178262046737509	-0.264022905459106	-0.264446673642139	-0.189043566847559	-0.278478009392399	-0.280603587682442	-0.36295390323072	-0.244178639462983	-0.223756584097895	-0.130501966591544	-0.023290852761766	-0.0201017690383135	-0.0401746658890997	-0.0406002093702533	-0.0232902733718983	0.546109352461154	0.0622575745383199	0.0621242412049866	0.0964853715889758	-0.33934918931408	NA	0.184422039634785	0.248834130290385	0.196140791109541	0.26373803411294	0.263411306661539	0.407680134395739	0.102986713674855	0.155953652414658	0.259541797724508	0.0683859023831376	0.0267603495447942	0.0263084991533831	0.0253821946172803	0.0683032860142103	0.0166666666666667	0.0833333333333333	0.05	NA	0.0166666666666667	0.0333333333333333	0	0.0833333333333333	0	0	0	0	0	0	0	0.0906853715889757	0.128248482409973	0.128248482409973	0.181370743177952	NA	NA	0.44844494509389	0.513280803932525	NA	NA	0.111606722137831	0.127607547390897	0.3851843579571	0.542216043505339	0.544014894343981	0.770634037626458	0.0959992407719849	0.134729298310298	0.135170451114279	0.190306365871648	0.347165353137838	0.379710236512553	0.390043764316051	0.0916767551449036	0.0864670970853927	0.0944388305818535	0.0972024671110906	0.0229138417208518	0.0468621185831077	0.0664831650424827	0.0659824039875336	0.0915935593861086	0.0117149612172856	0.0166191307517665	0.016493942704384	0.022893495811724
"10"	20	60	80	25	1e+06	0	0	0	0	0	0	0	0	0.498466666666667	0.00230000000000005	-0.00249999999999997	0.00599999999999996	-0.00612372503249556	0.00927406706513844	-0.0101038511652246	0.0240559221709705	0.498469073526019	0.00231851133076583	-0.00252587855120479	0.0060137927418964	-0.00596738251358588	0.00886982533763282	-0.0101676619765289	0.0242160841063454	0.498508158798597	0.00221745139802637	-0.00254183241107003	0.00605383698660084	-0.0896702735367993	0.218156320218941	-0.108145488429248	0.0237116397727035	0.477597440734225	0.054479953496087	-0.0268907442953757	0.00582461892688924	-0.00697924568892464	0.0102166540173612	-0.00829973634536866	0.0218993264376843	0.498255195660196	0.00255415571502515	-0.00207486686140007	0.0054746656560955	0.453868777199867	-0.0607709401371643	-0.0655709401371644	-0.0831957789335995	NA	-0.185519245546433	-0.244475065316544	-0.263758044460533	-0.195773662024886	-0.258184028086525	-0.280258445700234	-0.355606751253692	-0.254902814587212	0.0265125255070167	-0.301821269542829	-0.0256208708314126	-0.0286885767425061	-0.0215343547868772	-0.0396034469951475	-0.024784534863945	0.543064556133466	0.0653709401371644	0.0605709401371645	0.0951957789335995	-0.334723654170392	NA	0.173271795481442	0.263023199446821	0.18397309548681	0.278490413252788	0.258228168515647	0.404374794730476	0.0761593646444211	0.406625474956119	0.0813216376272984	0.072868087561138	0.0145361633361503	0.0420986224857652	0.0228451588460079	0.0678283902152255	0.0833333333333333	0.0333333333333333	0.0666666666666667	NA	0.0333333333333333	0.0166666666666667	0.05	0.0333333333333333	0.0333333333333333	1	0	0	0	0	0	0.0891957789335995	0.126141880274329	0.126141880274329	0.178391557867199	NA	NA	0.417746860797986	0.526781243907354	NA	NA	0.104013877959705	0.130937472354257	0.379746757511696	0.536674441339313	0.538486614215881	0.759981545984168	0.0946516768387065	0.133368725427438	0.133804782078816	0.187728485811614	0.331062179231633	0.380112949449102	0.383142907170128	0.0984889583925505	0.0824135239991768	0.0943662232683862	0.0945545594500277	0.0246053806980954	0.0432247400786565	0.0636329772726424	0.0624486058411554	0.0926129250791704	0.0108056291619461	0.0159068591043435	0.0156099628386603	0.0231475279213407
